session_id,search_id,search_time,session_starting_time,booking_id
237,136,2018-12-25 13:49:54.647000,0,0.0
237,1301,2018-12-25 13:35:31.828000,0,0.0
237,63,2018-12-25 14:28:05.491000,0,0.0
237,24,2018-12-25 13:52:31.812000,0,0.0
237,1293,2018-12-25 13:38:36.315000,0,307.0
237,21,2018-12-25 13:51:51.209000,0,0.0
237,127,2018-12-25 13:50:09.742000,0,0.0
237,1298,2018-12-25 13:50:09.038000,0,0.0
237,73,2018-12-25 14:27:39.690000,0,0.0
237,1293,2018-12-25 13:38:36.315000,0,307.0
237,1318,2018-12-25 13:52:17.251000,0,0.0
237,5,2018-12-25 13:53:00.686000,0,0.0
237,1273,2018-12-25 13:37:33.944000,0,0.0
237,1350,2018-12-25 13:34:54.367000,0,0.0
237,1343,2018-12-25 13:53:29.949000,0,0.0
237,1269,2018-12-25 13:52:17.122000,0,0.0
238,1144,0,2022-05-22 09:03:56,0.0
238,991,0,2022-05-22 09:03:56,61.0
114,1327,2018-10-09 17:54:44.900000,0,315.0
114,1353,2018-10-09 17:51:15.268000,0,0.0
297,137,2018-10-09 20:42:03.446000,0,0.0
297,1352,2018-10-09 20:30:16.359000,0,84.0
214,80,2018-11-16 17:49:16.337000,2018-11-16 17:35:28,0.0
81,1271,2018-11-16 18:41:38.707000,0,201.0
214,182,2018-11-16 18:50:01.569000,2018-11-16 17:35:28,73.0
214,163,2018-11-16 18:37:07.309000,2018-11-16 17:35:28,0.0
214,61,2018-11-16 17:36:08.382000,2018-11-16 17:35:28,0.0
288,1095,0,2022-03-09 22:07:08,0.0
214,106,2018-11-16 18:03:30.543000,2018-11-16 17:35:28,0.0
81,16,2018-11-16 18:41:38.673000,0,0.0
214,106,2018-11-16 18:03:30.543000,2018-11-16 17:35:28,0.0
81,175,2018-11-16 18:41:38.492000,0,0.0
288,1196,0,2022-03-09 22:07:08,10.0
271,565,0,0,329.0
271,744,0,0,0.0
271,325,0,0,0.0
288,1041,0,2022-03-09 22:07:08,0.0
288,1215,0,2022-03-09 22:07:08,0.0
83,157,2018-10-06 14:04:47.364000,0,0.0
314,1264,2018-10-06 01:59:09.647000,2018-10-06 01:53:04,0.0
158,1300,2018-10-06 12:34:20.269000,0,0.0
158,83,2018-10-06 12:34:45.116000,0,0.0
158,1256,2018-10-06 12:31:18.537000,0,0.0
158,149,2018-10-06 12:33:56.839000,0,0.0
83,157,2018-10-06 14:04:47.364000,0,310.0
158,1303,2018-10-06 12:36:30.871000,0,0.0
314,1320,2018-10-06 01:57:57.842000,2018-10-06 01:53:04,0.0
18,1326,2018-11-17 15:49:07.561000,2018-11-17 15:48:39,294.0
314,1279,2018-10-06 02:00:46.388000,2018-10-06 01:53:04,293.0
158,1329,2018-10-06 12:28:02.687000,0,111.0
158,184,2018-10-06 12:35:04.485000,0,0.0
260,600,2019-10-06 09:53:34.674000,2019-10-06 09:34:19,16.0
260,410,2019-10-06 09:38:34.115000,2019-10-06 09:34:19,0.0
260,526,2019-10-06 09:34:44.341000,2019-10-06 09:34:19,0.0
260,735,2019-10-06 09:35:23.781000,2019-10-06 09:34:19,0.0
260,702,2019-10-06 09:40:31.693000,2019-10-06 09:34:19,0.0
260,931,2019-10-06 09:37:40.488000,2019-10-06 09:34:19,0.0
260,346,2019-10-06 09:36:18.894000,2019-10-06 09:34:19,0.0
260,335,2019-10-06 09:45:06.378000,2019-10-06 09:34:19,0.0
63,1151,2019-11-12 22:41:31.038000,0,183.0
63,1216,2019-11-12 22:22:57.246000,0,0.0
63,1244,2019-11-12 22:23:55.591000,0,0.0
144,1310,2018-12-20 11:37:16.599000,0,46.0
277,464,0,0,153.0
6,305,2019-10-07 15:43:14.169000,0,137.0
39,88,2018-12-21 20:49:57.800000,2018-12-21 20:29:31,0.0
39,131,2018-12-21 20:44:12.462000,2018-12-21 20:29:31,338.0
39,122,2018-12-21 20:29:40.823000,2018-12-21 20:29:31,0.0
74,265,0,0,127.0
213,244,0,0,210.0
289,504,2019-12-20 13:30:07.587000,2019-12-20 13:29:40,0.0
104,1257,2018-10-08 16:44:37.158000,0,94.0
296,1219,2019-12-20 15:53:24.883000,2019-12-20 15:52:51,236.0
104,1257,2018-10-08 16:44:37.158000,0,0.0
72,1214,2019-12-20 02:35:49.115000,2019-12-20 02:35:22,179.0
289,920,2019-12-20 13:32:53.573000,2019-12-20 13:29:40,288.0
123,1009,0,2022-03-04 10:58:51,149.0
104,1257,2018-10-08 16:44:37.158000,0,0.0
290,134,2018-10-04 15:17:22.191000,0,0.0
290,0,2018-10-04 15:17:39.490000,0,0.0
290,65,2018-10-04 15:30:22.993000,0,0.0
290,86,2018-10-04 15:31:29.732000,0,0.0
290,1260,2018-10-04 15:47:16.250000,0,0.0
290,1285,2018-10-04 15:33:15.956000,0,0.0
290,12,2018-10-04 15:20:42.040000,0,0.0
290,1321,2018-10-04 15:16:46.194000,0,0.0
290,1296,2018-10-04 15:20:29.567000,0,0.0
290,168,2018-10-04 14:06:42.931000,0,0.0
233,1349,2018-10-04 07:02:59.415000,0,0.0
290,1,2018-10-04 14:26:19.811000,0,0.0
252,864,0,2020-12-03 10:14:07,53.0
290,150,2018-10-04 15:15:50.105000,0,0.0
290,1,2018-10-04 14:26:19.811000,0,0.0
233,1258,2018-10-04 06:53:29.723000,0,134.0
290,47,2018-10-04 15:32:20.445000,0,0.0
290,33,2018-10-04 15:06:16.360000,0,104.0
290,15,2018-10-04 15:02:45.034000,0,0.0
290,113,2018-10-04 15:36:14.535000,0,0.0
290,119,2018-10-04 15:17:48.831000,0,0.0
290,1337,2018-10-04 15:17:17.991000,0,0.0
290,1275,2018-10-04 15:36:54.447000,0,0.0
290,1,2018-10-04 14:26:19.811000,0,0.0
290,180,2018-10-04 15:16:06.699000,0,0.0
290,183,2018-10-04 15:32:42.635000,0,0.0
290,171,2018-10-04 15:17:04.576000,0,0.0
290,1356,2018-10-04 15:36:39.787000,0,0.0
290,172,2018-10-04 14:04:45.180000,0,0.0
290,1288,2018-10-04 14:06:21.034000,0,0.0
290,1280,2018-10-04 15:11:49.347000,0,59.0
177,1359,0,0,0.0
92,208,2019-10-03 09:05:13.807000,0,298.0
79,281,0,2021-03-31 14:21:33,0.0
79,659,0,2021-03-31 14:21:33,0.0
79,398,0,2021-03-31 14:21:33,0.0
79,466,0,2021-03-31 14:21:33,0.0
79,867,0,2021-03-31 14:21:33,0.0
79,336,0,2021-03-31 14:21:33,85.0
79,217,0,2021-03-31 14:21:33,0.0
79,665,0,2021-03-31 14:21:33,0.0
301,682,0,2021-02-25 05:28:10,0.0
301,271,0,2021-02-25 05:28:10,0.0
301,577,0,2021-02-25 05:28:10,0.0
301,300,0,2021-02-25 05:28:10,0.0
301,456,0,2021-02-25 05:28:10,123.0
301,226,0,2021-02-25 05:28:10,0.0
301,226,0,2021-02-25 05:28:10,0.0
301,226,0,2021-02-25 05:28:10,0.0
301,226,0,2021-02-25 05:28:10,0.0
301,274,0,2021-02-25 05:28:10,0.0
301,832,0,2021-02-25 05:28:10,0.0
139,78,2018-11-12 13:54:32.327000,0,254.0
41,1032,2019-10-04 13:33:00.140000,0,0.0
41,1011,2019-10-04 13:31:42.275000,0,0.0
41,1004,2019-10-04 14:10:40.050000,0,0.0
41,1034,2019-10-04 13:41:55.885000,0,0.0
41,1094,2019-10-04 13:41:14.326000,0,0.0
41,1209,2019-10-04 13:41:46.569000,0,0.0
41,981,2019-10-04 13:42:23.387000,0,159.0
124,1286,2018-10-02 09:50:04.781000,0,0.0
124,82,2018-10-02 09:46:31.661000,0,0.0
124,1252,2018-10-02 09:59:30.185000,0,0.0
124,169,2018-10-02 09:59:56.701000,0,0.0
124,37,2018-10-02 09:45:51.409000,0,0.0
124,169,2018-10-02 09:59:56.701000,0,0.0
124,142,2018-10-02 09:49:41.400000,0,0.0
124,1342,2018-10-02 10:08:25.251000,0,0.0
124,77,2018-10-02 09:44:25.289000,0,0.0
124,169,2018-10-02 09:59:56.701000,0,0.0
124,72,2018-10-02 09:46:14.716000,0,0.0
124,169,2018-10-02 09:59:56.701000,0,0.0
124,169,2018-10-02 09:59:56.701000,0,0.0
124,178,2018-10-02 09:59:19.520000,0,0.0
124,59,2018-10-02 09:45:00.269000,0,0.0
199,801,0,2021-07-24 18:13:26,177.0
199,831,0,2021-07-24 18:13:26,0.0
199,771,0,2021-07-24 18:13:26,0.0
199,696,0,2021-07-24 18:13:26,0.0
199,507,0,2021-07-24 18:13:26,0.0
124,1302,2018-10-02 09:49:12.420000,0,0.0
124,27,2018-10-02 09:39:42.188000,0,21.0
124,27,2018-10-02 09:39:42.188000,0,21.0
199,304,0,2021-07-24 18:13:26,0.0
199,252,0,2021-07-24 18:13:26,0.0
199,638,0,2021-07-24 18:13:26,0.0
199,562,0,2021-07-24 18:13:26,0.0
199,827,0,2021-07-24 18:13:26,0.0
199,448,0,2021-07-24 18:13:26,0.0
103,251,2019-12-23 15:27:59.810000,0,144.0
199,831,0,2021-07-24 18:13:26,0.0
199,508,0,2021-07-24 18:13:26,0.0
199,937,0,2021-07-24 18:13:26,0.0
199,253,0,2021-07-24 18:13:26,0.0
199,264,0,2021-07-24 18:13:26,0.0
103,679,2019-12-23 15:27:45.308000,0,0.0
70,957,2019-12-23 08:29:25.975000,2019-12-23 08:09:15,0.0
227,788,0,0,133.0
70,1237,2019-12-23 08:09:18.787000,2019-12-23 08:09:15,0.0
70,956,2019-12-23 08:14:28.478000,2019-12-23 08:09:15,124.0
13,585,2019-10-08 08:34:35.488000,2019-10-08 08:34:34,330.0
325,997,2019-12-21 15:13:15.583000,2019-12-21 15:13:12,281.0
329,895,2019-11-14 21:47:12.904000,0,0.0
329,620,2019-11-14 21:49:00.871000,0,0.0
329,773,2019-11-14 21:18:04.055000,0,0.0
329,210,2019-11-14 21:48:23.173000,0,0.0
329,461,2019-11-14 21:41:29.226000,0,0.0
329,810,2019-11-14 21:50:05.008000,0,0.0
329,797,2019-11-14 21:46:49.419000,0,0.0
